Device Name,Platform,OS Version,Portrait,Landscape,,
Acer Iconia Tab A100,Android,4.0.3,800,1280,,"To make a submission, visit:"
Acer Iconia Tab A101,Android,3.2.1,600,1024,,
Acer Iconia Tab A200,Android,4.0.3,800,1280,,http://bit.ly/TbbXRy
Acer Iconia Tab A500,Android,4.0.3,648,1280,,
Acer Iconia Tab A501,Android,3.2,800,1280,,
Ainol Novo 7 Elf 2,Android,4.0.3,496,1024,,
Archos 70b (it2),Android,3.2.1,600,1024,,
Archos 80G9,Android,3.2,768,1024,,
Arnova 10b G3,Android,4.0.3,600,1024,,
Arnova 7 G2,Android,2.3.1,480,800,,
Arnova 7FG3,Android,4.0.3,640,1067,,
Arnova 8C G3,Android,4.0.3,800,1067,,
ASUS B1-A71,Android,4.1.2,600,1024,,
ASUS Padfone,Android,4.0,800,1128,,
ASUS Transformer Pad TF300T,Android,4.0.3,800,1280,,
ASUS Transformer TF101,Android,3.1,800,1280,,
ASUS Vivo,Windows RT,8.0,768,1366,,
BAUHN AMID-972XS,Android,4.0.3,768,1024,,
Bauhn AMID-9743G,Android,4.1.2,768,1024,,
BlackBerry 9520,BlackBerry OS,5,345,691,,
BlackBerry Bold 9000,BlackBerry OS,4.0.0.223,480,NA,,
BlackBerry Bold 9360,BlackBerry OS,7.0.0.530,320,NA,,
BlackBerry Bold 9780,BlackBerry OS,6.0.0.110,480,NA,,
BlackBerry Bold 9790,BlackBerry OS,7.0.0.528,320,NA,,
BlackBerry Bold 9900,BlackBerry OS,7.1.0.342,356,NA,,
BlackBerry Curve 9300,BlackBerry OS,5.0.0.716,311,NA,,
BlackBerry Curve 9300,BlackBerry OS,6.0.0.448,320,NA,,
BlackBerry Curve 9320,BlackBerry OS,7.1.0.569,320,NA,,
BlackBerry Curve 9360,BlackBerry OS,7.0.0.530,320,NA,,
BlackBerry Curve 9380,BlackBerry OS,7.0.0.513,320,406,,
BlackBerry PlayBook,Blackberry Tablet OS,2.1.0,600,1024,,
BlackBerry Torch 9800,BlackBerry OS,6.0.0.353,360,480,,
BlackBerry Torch 9810,BlackBerry OS,7.0.0.296,320,NA,,
BlackBerry Torch 9860,BlackBerry OS,7.0.0.579,320,505,,
Galaxy Nexus,Android,4.1.1,360,598,,
HP Touchpad,Android (cyanogenmod),4.0.3,768,1024,,
HP Veer,WebOS,2.1.1,320,545,,
HTC 7 Mozart,WP7,7.5,320,480,,
HTC 7 Trophy,WP7,7.5,320,480,,
HTC Desire,Android,2.3.3,320,533,,
HTC Desire C,Android,4.0.3,320,480,,
HTC Desire HD,Android,2.3.5,320,533,,
HTC Desire Z (Vision),Android,2.2,480,800,,
HTC Evo 3D,Android,4.0.3,540,960,,
HTC Incredible 2,Android ,2.3.4,320,533,,
HTC Legend,Android,2.2,320,480,,
HTC MyTouch Slide 4G,Android,2.3.4,320,533,,
HTC One S,Android,4.0.3,360,640,,
HTC One V,Android,4.0.3,320,533,,
HTC One XL,Android,4.0.3,360,640,,
HTC Sensation XL,Android,4.0.3,360,640,,
HTC Titan 4G (Radiant?),WP7,7.5,320,480,,
HTC Velocity 4G,Android,4.0.3,360,640,,
HTC Wildfire A3333,Android,2.2.1,267,356,,
HTC Wildfire S,Android,2.3.3,320,480,,
HTC Windows Phone 8X (C625b),WP8,8.0,320,480,,
Huawei U8650,Android,2.3.3,320,480,,
iPad,iOS,5.0.1,768,1024,,
iPad 2,iOS,5.0.1,768,1024,,
iPad 3,iOS,5.1.1,768,1024,,
iPad Mini,iOS,6.0.1,768,1024,,
iPhone 3G,iOS,4.2.1,320,480,,
iPhone 3GS,iOS,6.0a2,320,480,,
iPhone 4,iOS,5.1.1,320,480,,
iPhone 4S,iOS,4.3.5,320,480,,
iPhone 5,iOS,6.0,320,568,,
iPod Touch,iOS,5.0.1,320,480,,
Kindle 3,Kindle,3.3,600,NA,,
Kindle Fire 2,Android,4.0.3,600,963,,
Kindle Fire HD,Android,4,533,801,,
Kindle Fire HD 8.9,Android,4.0.3,800,1220,,
Kindle Paperwhite,Kindle,5,758,NA,,
Kobo eReader Touch,Android,2.0.0,600,NA,,
LG Optimus 2x,Android,2.3.7,320,533,,
LG Optimus Black (P970),Android,4.0.4,320,533,,
LG Optimus L3,Android,2.3.6,320,427,,
LG Optimus Pad,Android,3.0.1,768,1280,,
LG Optimus V900,Android,3.0.1,768,1280,,
LG Viewty KU990,Proprietary (Java),1.2,240,400,,
Microsoft Surface,Windows RT,8.0,768,1366,,
Motorola Defy,Android,2.3.4,320,569,,
Motorola Droid Razr,Android,2.3.6,360,640,,
Motorola Droid3,Android,2.3,360,559,,
Motorola Milestone,Android,2.3.7,320,569,,
Motorola Razr HD 4G,Android,4.0.4,360,598,,
Motorola Razr M 4G,Android,4.0.4,360,598,,
Motorola Xoom,Android,4.1,800,1280,,
Motorola Xoom 2,Android,3.2.2,800,1280,,
Motorola Xoom 2 Media Edition,Android,3.2.2,800,1280,,
Nexus 4,Android,4.2.1,384,598,,
Nexus 7,Android,4.1.1,603,966,,
Nexus 7,Android,4.2.1,600,961,,
Nexus 7 (LCD Density set to 175PPI),Android,4.1.1,731,1170,,
Nexus 10,Android,4.2.2,800,1280,,
Nexus One,Android,2.3.7,320,533,,
Nexus S,Android,4.1.1,320,533,,
Nintendo 3DS,3DS,4.3.0-10E,416,NA,,
Nintendo 3DS XL,3DS,1.7455.EU,400 and 320,NA,,
Nintendo DSi,DSi,507; U; en-GB,256,NA,,
Nintendo DSi XL,DSi,1.4.4A,240,NA,,
Nintendo Wii,Wii,4.3,800,NA,,
Nintendo Wii U,Wii U,1.0.0.7494,854,NA,,
Nokia 2700,S40,5th Edition,240,NA,,
Nokia 300,Proprietary (Nokia),07.03 29-11-11 RM-781,234,NA,,
Nokia 302,Proprietary (Nokia),14.53 20-03-12 RM-813,314,NA,,
Nokia 500,Symbian,Belle,360,640,,
Nokia 700 (Opera Mobile),Symbian,Belle FP2,240,427,,
Nokia E61i,S60,Symbian 9.1,320,NA,,
Nokia E71,S60,Symbian 9.2,320,NA,,
Nokia Lumia 610,WP7,7.5,320,480,,
Nokia Lumia 710,WP7,7.5,320,480,,
Nokia Lumia 800,WP7,7.5,320,480,,
Nokia Lumia 820,WP8,8.0,320,480,,
Nokia Lumia 900,WP7,7.5,320,480,,
Nokia Lumia 920,WP8,8.0,320,480,,
Nokia N900,Maemo,5,480,800,,
Nokia N95,S60,Symbian 9.2,240,NA,,
Palm Pixie,WebOS,1.4.5,320,480,,
Panasonic Toughpad A1,Android,4.0,768,1024,,
Pioneer Dreambook,Android,4.0.4,768,1024,,
Samsung E3210,Proprietary (Java),NA,128,NA,,
Samsung Galaxy 5 GT-11503T,Android,2.2.1,320,341,,
Samsung Galaxy Ace,Android,2.3.4,320,480,,
Samsung Galaxy Ace 2,Android,2.3.6,320,533,,
Samsung Galaxy Ace Plus,Android,2.3.6,320,480,,
Samsung Galaxy Beam GT-I8530,Android,2.3.6,320,533,,
Samsung Galaxy Europa GT-I5500,Android,2.1-update1,320,427,,
Samsung Galaxy Mini S5570,Android,2.3.4,240,320,,
Samsung Galaxy Note,Android,2.3.6,400,640,,
Samsung Galaxy Note 10.1 GT-N8010,Android,4.0.4,800,1280,,
Samsung Galaxy Note 10.1 GT-N8010 (Multiscreen Enabled),Android,4.0.4,800,637,,
Samsung Galaxy Note 2,Android,4.1.1,360,640,,
Samsung Galaxy S,Android,2.3.6,320,533,,
Samsung Galaxy S2,Android,2.3.6,320,533,,
Samsung Galaxy S2,Android,4.0.4,320,533,,
Samsung Galaxy S3,Android,4.0.4,360,640,,
Samsung Galaxy Tab 10.1 P7510 (I think...),Android,3.2,800,1280,,
Samsung Galaxy Tab 2 10.1 GT-P5110,Android,4.0.4,800,1280,,
Samsung Galaxy Tab 2 7.0 GT-P3110,Android,4.0.3,600,1024,,
Samsung Galaxy Tab 7.7,Android,3.2,800,1280,,
"Samsung Galaxy Tab 7"" GT-P6210",Android,3.2,600,1024,,
Samsung Galaxy Tab 8.9 GT-P7310,Android,4.0.4,800,1280,,
Samsung Galaxy Tab 8.9 P7320,Android,3.2,800,1280,,
Samsung Galaxy Tab P1000,Android,2.3.3,400,683,,
Samsung Galaxy Y,Android,2.3.6,320,427,,
Samsung Omnia W,WP7,7.5,320,480,,
Samsung Omnia7,WP7,7.5,320,480,,
Samsung Wave GT-S8500,Bada,1.0,240,400,,
Samsung YPG70CW,Android,2.2,320,533,,
Scroll Excel,Android,2.3.4,480,800,,
"Sony BRAVIA 40"" EX520",Proprietary (TV),PKG4.012GAA-0104,NA,1920,,
Sony Ericsson Elm,Propietary (Java),1231-1917 R7CA061 100619,240,NA,,
Sony Ericsson Xperia Arc,Android,2.3.4,320,569,,
Sony Ericsson Xperia Neo,Android,4.0.4,480,854,,
Sony Ericsson Xperia X8 (E15i),Android,2.1.1,320,480,,
Sony PlayStation 3,PlayStation 3,4.25,NA,1824,,
Sony PlayStation Vita,PlayStation Vita,1.00,NA,896,,
Sony Tablet P,Android,4.0.3,NA,1024,,
Sony Tablet S,Android,4.0.3,800,1280,,
Sony Xperia Mini ST15i,Android,2.3.4,320,401,,
Sony Xperia P,Android,2.3.7,360,640,,
Sony Xperia Play R800i,Android,2.3.4,425,974,,
Sony Xperia S,Android,2.3.7,360,640,,
Sony Xperia Sola MT27i,Android,2.3.7,320,569,,
Sony Xperia Tipo,Android,4.0.4,320,480,,
Sony Xperia U,Android,2.3.7,320,569,,
Telstra T-Hub 2,Android,2.3.7,400,683,,
Toshiba AT100,Android,4.0.4,800,1280,,
Toshiba AT1S0,Android,3.2,602,961,,
Toshiba AT200,Android,3.2.1,800,1280,,
Toshiba AT300,Android,4.0.3,800,1280,,
XBOX 360,XBOX,2.0,1050,NA,,
ZTE T22 (Telstra Urbane),Android,4.0.4,320,533,,
ZTE T28 (Telstra Active Touch),Android,2.3.5,320,533,,
ZTE T760 (Telstra Smart-Touch 2),Android,2.3.5,320,480,,
ZTE T81 (Telstra Frontier 4G),Android,4.0.4,320,533,,